CONCEPT 	 Soundex 	 Metaphone
abdominal_aortic 	 A135_A632 	 ABTMNL_ARTK
abdominal_cavity 	 A135_C130 	 ABTMNL_KFT
abdominal_discomfort 	 A135_D251 	 ABTMNL_TSKMFRT
abdominal_distension 	 A135_D235 	 ABTMNL_TSTNXN
abdominal_distention 	 A135_D235 	 ABTMNL_TSTNXN
abdominal_ectopic_gestation 	 A135_E231_G233 	 ABTMNL_EKTPK_JSTXN
abdominal_incision 	 A135_I522 	 ABTMNL_INSXN
abdominal_muscle 	 A135_M240 	 ABTMNL_MSKL
abdominal_pain 	 A135_P500 	 ABTMNL_PN
abdominal_pregnancy 	 A135_P625 	 ABTMNL_PRNNS
abdominal_viscera 	 A135_V260 	 ABTMNL_FSSR
abdominal_wall 	 A135_W400 	 ABTMNL_WL
abdominoplasty 	 A135 	 ABTMNPLST
abducens_nerve 	 A132_N610 	 ABTSNS_NRF
abduct 	 A132 	 ABTKT
abduction 	 A132 	 ABTKXN
abductor 	 A132 	 ABTKTR
abductor_digiti_minimi 	 A132_D230_M550 	 ABTKTR_TJT_MNM
abductor_muscle 	 A132_M240 	 ABTKTR_MSKL
abelisauridae 	 A142 	 ABLSRT
aberdeen_angus_cattle 	 A163_A522_C340 	 ABRTN_ANKS_KTL
aberrance 	 A165 	 ABRNS
aberrancy 	 A165 	 ABRNS
aberrant 	 A165 	 ABRNT
aberrantly 	 A165 	 ABRNTL
aberration 	 A163 	 ABRXN
abetalipoproteinemia 	 A134 	 ABTLPPRTNM
abhominable 	 A155 	 ABHMNBL
abhor 	 A160 	 ABHR
abhorrence 	 A165 	 ABHRNS
abhorrent 	 A165 	 ABHRNT
abhorreth 	 A163 	 ABHR0
abidance 	 A135 	 ABTNS
abide 	 A130 	 ABT
abide_by 	 A130_B000 	 ABT_B
abided_by 	 A133_B000 	 ABTT_B
abideth 	 A133 	 ABT0
abiding_love 	 A135_L100 	 ABTNK_LF
abience 	 A152 	 ABNS
ability 	 A143 	 ABLT
ability_communicate 	 A143_C552 	 ABLT_KMNKT
ability_hear 	 A143_H600 	 ABLT_HR
ability_read 	 A143_R300 	 ABLT_RT
ability_see 	 A143_S000 	 ABLT_S
abimelech 	 A154 	 ABMLX
abject 	 A122 	 ABJKT
abject_misery 	 A122_M260 	 ABJKT_MSR
abject_poverty 	 A122_P163 	 ABJKT_PFRT
abjection 	 A122 	 ABJKXN
abjectly 	 A122 	 ABJKTL
abjure 	 A126 	 ABJR
ablate 	 A143 	 ABLT
ablate_down 	 A143_D500 	 ABLT_TN
ablate_off 	 A143_O100 	 ABLT_OF
ablate_out 	 A143_O300 	 ABLT_OT
ablate_thin 	 A143_T500 	 ABLT_0N
ablaut 	 A143 	 ABLT
ablaze 	 A142 	 ABLS
able 	 A140 	 ABL
able_eat 	 A140_E300 	 ABL_ET
able_hear 	 A140_H600 	 ABL_HR
able_read 	 A140_R300 	 ABL_RT
able_run 	 A140_R500 	 ABL_RN
able_see 	 A140_S000 	 ABL_S
able_use 	 A140_U200 	 ABL_US
ablest 	 A142 	 ABLST
ablution 	 A143 	 ABLXN
abnegate 	 A152 	 ABNKT
abnormal 	 A156 	 ABNRML
abnormal_bone 	 A156_B500 	 ABNRML_BN
abnormal_brain 	 A156_B650 	 ABNRML_BRN
abnormal_cardiac 	 A156_C632 	 ABNRML_KRTK
abnormal_curvature 	 A156_C613 	 ABNRML_KRFTR
abnormal_enlargement 	 A156_E546 	 ABNRML_ENLRJMNT
abnormal_gait 	 A156_G300 	 ABNRML_KT
abnormal_gene 	 A156_G500 	 ABNRML_JN
abnormal_heart_rhythm 	 A156_H630_R350 	 ABNRML_HRT_R0M
abnormal_lipid 	 A156_L130 	 ABNRML_LPT
abnormal_liver_function 	 A156_L160_F523 	 ABNRML_LFR_FNKXN
abnormal_posture 	 A156_P236 	 ABNRML_PSTR
abnormal_prion 	 A156_P650 	 ABNRML_PRN
abnormal_rhythm 	 A156_R350 	 ABNRML_R0M
abnormalcy 	 A156 	 ABNRMLS
abnormality 	 A156 	 ABNRMLT
abnormally_prominent 	 A156_P655 	 ABNRML_PRMNNT
abnormally_short 	 A156_S630 	 ABNRML_XRT
abnormally_thick 	 A156_T200 	 ABNRML_0K
abode 	 A130 	 ABT
aboleth 	 A143 	 ABL0
abolish 	 A142 	 ABLX
abolish_capital_punishment 	 A142_C134_P525 	 ABLX_KPTL_PNXMNT
abolished_capital_punishment 	 A142_C134_P525 	 ABLXT_KPTL_PNXMNT
abolished_corporal_punishment 	 A142_C616_P525 	 ABLXT_KRPRL_PNXMNT
abolishing_capital_punishment 	 A142_C134_P525 	 ABLXNK_KPTL_PNXMNT
abolition 	 A143 	 ABLXN
abomasum 	 A152 	 ABMSM
abominable 	 A155 	 ABMNBL
abominable_snowman 	 A155_S555 	 ABMNBL_SNMN
abominably 	 A155 	 ABMNBL
abominate 	 A155 	 ABMNT
abomination 	 A155 	 ABMNXN
abominator 	 A155 	 ABMNTR
aboot 	 A130 	 ABT
aboriginal 	 A162 	 ABRJNL
aboriginal_youth 	 A162_Y300 	 ABRJNL_Y0
abort 	 A163 	 ABRT
abortion 	 A163 	 ABRXN
abortion_ban 	 A163_B500 	 ABRXN_BN
abortion_jurisprudence 	 A163_J621 	 ABRXN_JRSPRTNS
abortionist 	 A163 	 ABRXNST
abortive 	 A163 	 ABRTF
abortus 	 A163 	 ABRTS
abound 	 A153 	 ABNT
above 	 A110 	 ABF
above_all 	 A110_A400 	 ABF_AL
above_average_rainfall 	 A110_A162_R514 	 ABF_AFRJ_RNFL
above_earth 	 A110_E630 	 ABF_ER0
above_leg 	 A110_L200 	 ABF_LK
above_reproach 	 A110_R162 	 ABF_RPRX
abowte 	 A130 	 ABT
abracadabra 	 A162 	 ABRKTBR
abrade 	 A163 	 ABRT
abrasion 	 A162 	 ABRXN
abrasion_resistance 	 A162_R223 	 ABRXN_RSSTNS
abrasion_resistant 	 A162_R223 	 ABRXN_RSSTNT
abrasive 	 A162 	 ABRSF
abrasively 	 A162 	 ABRSFL
abreaction 	 A162 	 ABRKXN
abridge 	 A163 	 ABRJ
abridgement 	 A163 	 ABRJMNT
abroad 	 A163 	 ABRT
abrogate 	 A162 	 ABRKT
abrogation 	 A162 	 ABRKXN
abrupt 	 A161 	 ABRPT
abrupt_departure 	 A161_D163 	 ABRPT_TPRTR
abrupt_drop 	 A161_D610 	 ABRPT_TRP
abrupt_onset 	 A161_O523 	 ABRPT_ONST
abrupt_resignation 	 A161_R225 	 ABRPT_RSNXN
abruptio_placenta 	 A161_P425 	 ABRPX_PLSNT
abruptly 	 A161 	 ABRPTL
abruptness 	 A161 	 ABRPTNS
abs_plastic 	 A120_P423 	 ABS_PLSTK
abscess_cavity 	 A122_C130 	 ABSSS_KFT
abscess_formation 	 A122_F653 	 ABSSS_FRMXN
abscessed 	 A122 	 ABSSST
abscisic_acid 	 A122_A230 	 ABSSSK_ST
abscission 	 A122 	 ABSSXN
abscond 	 A125 	 ABSKNT
abseil 	 A124 	 ABSL
absence 	 A125 	 ABSNS
absence_of_communication 	 A125_O100_C552 	 ABSNS_OF_KMNKXN
absence_of_danger 	 A125_O100_D526 	 ABSNS_OF_TNJR
absence_of_light 	 A125_O100_L230 	 ABSNS_OF_LT
absence_of_risk 	 A125_O100_R200 	 ABSNS_OF_RSK
absence_seizure 	 A125_S260 	 ABSNS_SSR
absent 	 A125 	 ABSNT
absent-minded 	 A125 	 ABSNTMNTT
absentee 	 A125 	 ABSNT
absenteeism 	 A125 	 ABSNTSM
absently 	 A125 	 ABSNTL
absolute 	 A124 	 ABSLT
absolute_accuracy 	 A124_A262 	 ABSLT_KKRS
absolute_alcohol 	 A124_A424 	 ABSLT_ALKHL
absolute_discretion 	 A124_D263 	 ABSLT_TSKRXN
absolute_dominion 	 A124_D555 	 ABSLT_TMNN
absolute_equality 	 A124_E243 	 ABSLT_EKLT
absolute_idealism 	 A124_I342 	 ABSLT_ITLSM
absolute_immunity 	 A124_I553 	 ABSLT_IMNT
absolute_joy 	 A124_J000 	 ABSLT_J
absolute_liability 	 A124_L143 	 ABSLT_LBLT
absolute_loyalty 	 A124_L430 	 ABSLT_LYLT
absolute_monarch 	 A124_M562 	 ABSLT_MNRX
absolute_monarchy 	 A124_M562 	 ABSLT_MNRX
absolute_necessity 	 A124_N223 	 ABSLT_NSST
absolute_negativity 	 A124_N231 	 ABSLT_NKTFT
absolute_nonsense 	 A124_N525 	 ABSLT_NNSNS
absolute_perfection 	 A124_P612 	 ABSLT_PRFKXN
absolute_pitch 	 A124_P320 	 ABSLT_PX
absolute_power 	 A124_P600 	 ABSLT_PWR
absolute_prohibition 	 A124_P613 	 ABSLT_PRHBXN
absolute_refractory_period 	 A124_R162_P630 	 ABSLT_RFRKTR_PRT
absolute_rubbish 	 A124_R120 	 ABSLT_RBX
absolute_ruler 	 A124_R460 	 ABSLT_RLR
absolute_silence 	 A124_S452 	 ABSLT_SLNS
absolute_truth 	 A124_T630 	 ABSLT_TR0
absolute_value 	 A124_V400 	 ABSLT_FL
absolute_veto 	 A124_V300 	 ABSLT_FT
absolute_vodka 	 A124_V320 	 ABSLT_FTK
absolutely 	 A124 	 ABSLTL
absolutely_brilliant 	 A124_B645 	 ABSLTL_BRLNT
absolutely_clear 	 A124_C460 	 ABSLTL_KLR
absolutely_critical 	 A124_C632 	 ABSLTL_KRTKL
absolutely_crucial 	 A124_C624 	 ABSLTL_KRXL
absolutely_essential 	 A124_E253 	 ABSLTL_ESNXL
absolutely_false 	 A124_F420 	 ABSLTL_FLS
absolutely_fantastic 	 A124_F532 	 ABSLTL_FNTSTK
absolutely_impossible 	 A124_I512 	 ABSLTL_IMPSBL
absolutely_incapable 	 A124_I521 	 ABSLTL_INKPBL
absolutely_necessary 	 A124_N226 	 ABSLTL_NSSR
absolutely_perfect 	 A124_P612 	 ABSLTL_PRFKT
absolutely_stunning 	 A124_S355 	 ABSLTL_STNNK
absolutely_vital 	 A124_V340 	 ABSLTL_FTL
absolutely_wonderful 	 A124_W536 	 ABSLTL_WNTRFL
absolution 	 A124 	 ABSLXN
absolutism 	 A124 	 ABSLTSM
absolutist 	 A124 	 ABSLTST
absolutist_rule 	 A124_R400 	 ABSLTST_RL
absolutive 	 A124 	 ABSLTF
absolve 	 A124 	 ABSLF
absolved 	 A124 	 ABSLFT
absolvitory 	 A124 	 ABSLFTR
absorb 	 A126 	 ABSRB
absorb_carbon_dioxide 	 A126_C615_D230 	 ABSRB_KRBN_TKST
absorb_heat 	 A126_H300 	 ABSRB_HT
absorb_information 	 A126_I516 	 ABSRB_INFRMXN
absorb_moisture 	 A126_M236 	 ABSRB_MSTR
absorb_oxygen 	 A126_O225 	 ABSRB_OKSJN
absorb_water 	 A126_W360 	 ABSRB_WTR
absorbable_suture 	 A126_S360 	 ABSRBBL_STR
absorbent 	 A126 	 ABSRBNT
absorbent_cotton 	 A126_C350 	 ABSRBNT_KTN
absorbent_paper 	 A126_P160 	 ABSRBNT_PPR
absorbing 	 A126 	 ABSRBNK
absorbing_carbon_dioxide 	 A126_C615_D230 	 ABSRBNK_KRBN_TKST
absorbs_moisture 	 A126_M236 	 ABSRBS_MSTR
absorption 	 A126 	 ABSRPXN
abstain_from 	 A123_F650 	 ABSTN_FRM
abstaining_from 	 A123_F650 	 ABSTNNK_FRM
abstemious 	 A123 	 ABSTMS
abstemiousal 	 A123 	 ABSTMSL
abstemiousness 	 A123 	 ABSTMSNS
abstention 	 A123 	 ABSTNXN
absterge 	 A123 	 ABSTRJ
abstinance 	 A123 	 ABSTNNS
abstinence 	 A123 	 ABSTNNS
abstinence_education 	 A123_E323 	 ABSTNNS_ETKXN
abstinence_only 	 A123_O540 	 ABSTNNS_ONL
abstinent 	 A123 	 ABSTNNT
abstract 	 A123 	 ABSTRKT
abstract_mathematical 	 A123_M353 	 ABSTRKT_M0MTKL
abstract_think 	 A123_T520 	 ABSTRKT_0NK
abstract_thought 	 A123_T230 	 ABSTRKT_0T
abstraction 	 A123 	 ABSTRKXN
abstractionism 	 A123 	 ABSTRKXNSM
abstractly 	 A123 	 ABSTRKTL
abstruse 	 A123 	 ABSTRS
abstruseness 	 A123 	 ABSTRSNS
abstrusity 	 A123 	 ABSTRST
absurd 	 A126 	 ABSRT
absurdism 	 A126 	 ABSRTSM
absurdist 	 A126 	 ABSRTST
absurdist_comedy 	 A126_C530 	 ABSRTST_KMT
absurdist_humor 	 A126_H560 	 ABSRTST_HMR
absurdity 	 A126 	 ABSRTT
absurdly 	 A126 	 ABSRTL
abugida 	 A123 	 ABJT
abundance 	 A153 	 ABNTNS
abundant 	 A153 	 ABNTNT
abundant_fruit 	 A153_F630 	 ABNTNT_FRT
abundant_wildlife 	 A153_W434 	 ABNTNT_WLTLF
abundantly 	 A153 	 ABNTNTL
abusable 	 A121 	 ABSBL
abuse 	 A120 	 ABS
abuse_neglect 	 A120_N242 	 ABS_NKLKT
abused_alcohol 	 A123_A424 	 ABST_ALKHL
abusing_alcohol 	 A125_A424 	 ABSNK_ALKHL
abusive 	 A121 	 ABSF
abusive_behavior 	 A121_B160 	 ABSF_BHFR
abusive_boyfriend 	 A121_B165 	 ABSF_BFRNT
abusive_conduct 	 A121_C532 	 ABSF_KNTKT
abusive_father 	 A121_F360 	 ABSF_F0R
abusive_husband 	 A121_H215 	 ABSF_HSBNT
abusive_parent 	 A121_P653 	 ABSF_PRNT
abusive_stepfather 	 A121_S313 	 ABSF_STPF0R
abusive_treatment 	 A121_T635 	 ABSF_TRTMNT
abusively 	 A121 	 ABSFL
abut 	 A130 	 ABT
abuzz 	 A120 	 ABS
abysmal 	 A125 	 ABSML
abysmally 	 A125 	 ABSML
abyss 	 A120 	 ABS
abyssal_plain 	 A124_P450 	 ABSL_PLN
abyssinicum 	 A125 	 ABSNKM
ac_adapter 	 A200_A313 	 K_ATPTR
ac_adaptor 	 A200_A313 	 K_ATPTR
ac_chart 	 A200_C630 	 K_XRT
ac_impedance 	 A200_I513 	 K_IMPTNS
ac_power 	 A200_P600 	 K_PWR
ac_traction 	 A200_T623 	 K_TRKXN
academe 	 A235 	 KTM
academese 	 A235 	 KTMS
academia 	 A235 	 KTM
academic 	 A235 	 KTMK
academic_achievement 	 A235_A215 	 KTMK_XFMNT
academic_administrator 	 A235_A355 	 KTMK_ATMNSTRTR
academic_adviser 	 A235_A312 	 KTMK_ATFSR
academic_advisor 	 A235_A312 	 KTMK_ATFSR
academic_discipline 	 A235_D214 	 KTMK_TSSPLN
academic_excellence 	 A235_E245 	 KTMK_EKSSLNS
academic_integrity 	 A235_I532 	 KTMK_INTKRT
academic_merit 	 A235_M630 	 KTMK_MRT
academic_registrar 	 A235_R223 	 KTMK_RJSTRR
academic_requirement 	 A235_R265 	 KTMK_RKRMNT
academic_science 	 A235_S520 	 KTMK_SSNS
academical 	 A235 	 KTMKL
academically 	 A235 	 KTMKL
academician 	 A235 	 KTMXN
academicism 	 A235 	 KTMSSM
academicyear_month 	 A235_M530 	 KTMSR_MN0
academy 	 A235 	 KTM
academy_nda 	 A235_N300 	 KTM_NT
acalculia 	 A242 	 KLKL
acantha 	 A253 	 KN0
acanthamoeba 	 A253 	 KN0MB
acanthotic 	 A253 	 KN0TK
acaricide 	 A262 	 KRST
acarophobia 	 A261 	 KRFB
acarpous 	 A261 	 KRPS
acb_slam_dunk 	 A210_S450_D520 	 KB_SLM_TNK
accede 	 A230 	 KST
accelerant 	 A246 	 KSLRNT
accelerate 	 A246 	 KSLRT
accelerated_depreciation 	 A246_D162 	 KSLRTT_TPRXXN
accelerated_erosion 	 A246_E625 	 KSLRTT_ERXN
acceleration 	 A246 	 KSLRXN
accelerator 	 A246 	 KSLRTR
accelerometer 	 A246 	 KSLRMTR
accent 	 A253 	 KSNT
accent_lighting 	 A253_L235 	 KSNT_LTNK
accented_english 	 A253_E524 	 KSNTT_ENKLX
accented_letter 	 A253_L360 	 KSNTT_LTR
accentuate 	 A253 	 KSNTT
accentuation 	 A253 	 KSNTXN
accepit 	 A213 	 KSPT
accept 	 A213 	 KSPT
accept_challenge 	 A213_C452 	 KSPT_XLNJ
accept_responsibility 	 A213_R215 	 KSPT_RSPNSBLT
acceptability 	 A213 	 KSPTBLT
acceptable 	 A213 	 KSPTBL
acceptable_excuse 	 A213_E220 	 KSPTBL_EKSKS
acceptableness 	 A213 	 KSPTBLNS
acceptance 	 A213 	 KSPTNS
acceptation 	 A213 	 KSPTXN
accepted 	 A213 	 KSPTT
accepting_change 	 A213_C520 	 KSPTNK_XNJ
accepts_responsibility 	 A213_R215 	 KSPTS_RSPNSBLT
access 	 A220 	 KSS
access_computer 	 A220_C513 	 KSS_KMPTR
access_csma 	 A220_C500 	 KSS_KSM
access_internet 	 A220_I536 	 KSS_INTRNT
access_offa 	 A220_O100 	 KSS_OF
access_quickly 	 A220_Q240 	 KSS_KKL
accessary 	 A226 	 KSSR
accessed_through 	 A223_T620 	 KSST_0R
accessforall 	 A221 	 KSSFRL
accessibility 	 A221 	 KSSBLT
accessibility_template_vpat 	 A221_T514_V300 	 KSSBLT_TMPLT_FPT
accessible 	 A221 	 KSSBL
accessible_toilet 	 A221_T430 	 KSSBL_TLT
accessible_via 	 A221_V000 	 KSSBL_F
accessible_via_telnet 	 A221_V000_T453 	 KSSBL_F_TLNT
accessing_inappropriate 	 A225_I516 	 KSSNK_INPRPRT
accessorial 	 A226 	 KSSRL
accessorise 	 A226 	 KSSRS
accessorize_outfit 	 A226_O313 	 KSSRS_OTFT
accessory 	 A226 	 KSSR
accessory_shoe 	 A226_S000 	 KSSR_X
accident 	 A235 	 KSTNT
accident-prone 	 A235 	 KSTNTPRN
accident_game 	 A235_G500 	 KSTNT_KM
accident_happen 	 A235_H150 	 KSTNT_HPN
accident_prevention 	 A235_P615 	 KSTNT_PRFNXN
accidental 	 A235 	 KSTNTL
accidental_contamination 	 A235_C535 	 KSTNTL_KNTMNXN
accidental_damage 	 A235_D520 	 KSTNTL_TMJ
accidental_death 	 A235_D300 	 KSTNTL_T0
accidental_deletion 	 A235_D435 	 KSTNTL_TLXN
accidental_detonation 	 A235_D353 	 KSTNTL_TTNXN
accidental_discovery 	 A235_D216 	 KSTNTL_TSKFR
accidental_explosion 	 A235_E214 	 KSTNTL_EKSPLXN
accidental_ignition 	 A235_I253 	 KSTNTL_INXN
accidental_injury 	 A235_I526 	 KSTNTL_INJR
accidental_pregnancy 	 A235_P625 	 KSTNTL_PRNNS
accidentally 	 A235 	 KSTNTL
accidentally_delete 	 A235_D430 	 KSTNTL_TLT
accidie 	 A230 	 KST
accipiter 	 A213 	 KSPTR
acclaim 	 A245 	 KKLM
acclaimed 	 A245 	 KKLMT
acclaimed_documentary 	 A245_D255 	 KKLMT_TKMNTR
acclamation 	 A245 	 KKLMXN
acclimate 	 A245 	 KKLMT
acclimatise 	 A245 	 KKLMTS
acclimatised 	 A245 	 KKLMTST
acclimatization 	 A245 	 KKLMTSXN
acclimatize 	 A245 	 KKLMTS
acclimatizing 	 A245 	 KKLMTSNK
accolade 	 A243 	 KKLT
accommodate 	 A253 	 KKMTT
accommodation 	 A253 	 KKMTXN
accommodative 	 A253 	 KKMTTF
accomodate 	 A253 	 KKMTT
accomodation 	 A253 	 KKMTXN
accompanying_diagram 	 A251_D265 	 KKMPNYNK_TKRM
accompanying_spouse 	 A251_S120 	 KKMPNYNK_SPS
accomplice 	 A251 	 KKMPLS
accomplish 	 A251 	 KKMPLX
accomplish_goal 	 A251_G400 	 KKMPLX_KL
accomplish_mission 	 A251_M250 	 KKMPLX_MXN
accomplish_task 	 A251_T200 	 KKMPLX_TSK
accomplished 	 A251 	 KKMPLXT
accomplished_athlete 	 A251_A343 	 KKMPLXT_A0LT
accomplished_dancer 	 A251_D526 	 KKMPLXT_TNSR
accomplishment 	 A251 	 KKMPLXMNT
accord 	 A263 	 KKRT
accord_sur 	 A263_S600 	 KKRT_SR
accordance 	 A263 	 KKRTNS
accordance_with 	 A263_W300 	 KKRTNS_W0
accordant 	 A263 	 KKRTNT
accordantly 	 A263 	 KKRTNTL
according 	 A263 	 KKRTNK
accordingly 	 A263 	 KKRTNKL
accordion_style 	 A263_S340 	 KKRTN_STL
accost 	 A223 	 KKST
account 	 A253 	 KKNT
account_book 	 A253_B200 	 KKNT_BK
account_department 	 A253_D163 	 KKNT_TPRTMNT
account_holder 	 A253_H436 	 KKNT_HLTR
account_indebtedness 	 A253_I531 	 KKNT_INTBTTNS
account_payable 	 A253_P140 	 KKNT_PYBL
account_receivable 	 A253_R211 	 KKNT_RSFBL
accountability 	 A253 	 KKNTBLT
accountable 	 A253 	 KKNTBL
accountant 	 A253 	 KKNTNT
accountant_office 	 A253_O120 	 KKNTNT_OFS
accountedge 	 A253 	 KKNTJ
accounting 	 A253 	 KKNTNK
accounting_firm 	 A253_F650 	 KKNTNK_FRM
accounting_fraud 	 A253_F630 	 KKNTNK_FRT
accounting_profession 	 A253_P612 	 KKNTNK_PRFXN
accouterment 	 A236 	 KKTRMNT
accoutrement 	 A236 	 KKTRMNT
accreditation 	 A263 	 KKRTTXN
accrete 	 A263 	 KKRT
accretion 	 A263 	 KKRXN
accretion_disc 	 A263_D200 	 KKRXN_TSK
accrue 	 A260 	 KKR
accrued_interest 	 A263_I536 	 KKRT_INTRST
acculturation 	 A243 	 KKLTRXN
accumulate 	 A254 	 KKMLT
accumulate_debt 	 A254_D130 	 KKMLT_TBT
accumulate_knowledge 	 A254_K543 	 KKMLT_NLJ
accumulate_stress 	 A254_S362 	 KKMLT_STRS
accumulate_stress_city 	 A254_S362_C300 	 KKMLT_STRS_ST
accumulate_wealth 	 A254_W430 	 KKMLT_WL0
accumulated_depreciation 	 A254_D162 	 KKMLTT_TPRXXN
accumulated_wealth 	 A254_W430 	 KKMLTT_WL0
accumulating_wealth 	 A254_W430 	 KKMLTNK_WL0
accumulation 	 A254 	 KKMLXN
accumulator 	 A254 	 KKMLTR
accuracy 	 A262 	 KKRS
accurate 	 A263 	 KKRT
accurate_calibration 	 A263_C416 	 KKRT_KLBRXN
accurate_description 	 A263_D261 	 KKRT_TSKRPXN
accurate_estimate 	 A263_E235 	 KKRT_ESTMT
accurate_estimation 	 A263_E235 	 KKRT_ESTMXN
accurate_measurement 	 A263_M265 	 KKRT_MSRMNT
accurately 	 A263 	 KKRTL
accurately_describe 	 A263_D261 	 KKRTL_TSKRB
accurately_determine 	 A263_D365 	 KKRTL_TTRMN
accurately_estimate 	 A263_E235 	 KKRTL_ESTMT
accurately_gauge 	 A263_G200 	 KKRTL_KJ
accurately_measure 	 A263_M260 	 KKRTL_MSR
accurately_predict 	 A263_P632 	 KKRTL_PRTKT
accurse 	 A262 	 KKRS
accusation 	 A223 	 KKSXN
accusative 	 A223 	 KKSTF
accusatory 	 A223 	 KKSTR
accuse 	 A220 	 KKS
accuse_person 	 A220_P625 	 KKS_PRSN
accused 	 A223 	 KKST
accused_fort_hood 	 A223_F630_H300 	 KKST_FRT_HT
accused_rapist 	 A223_R123 	 KKST_RPST
accuser 	 A226 	 KKSR
accusing 	 A225 	 KKSNK
accusingly 	 A225 	 KKSNKL
accusive 	 A221 	 KKSF
accuweather 	 A236 	 KKW0R
ace 	 A200 	 S
ace_hardware 	 A200_H636 	 S_HRTWR
ace_inhibitor 	 A200_I513 	 S_INHBTR
acellular_pertussis_vaccine 	 A244_P632_V250 	 SLLR_PRTSS_FKSN
acer_griseum 	 A260_G625 	 SR_KRSM
acer_negundo 	 A260_N253 	 SR_NKNT
acer_palmatum 	 A260_P453 	 SR_PLMTM
acer_rubrum 	 A260_R165 	 SR_RBRM
acer_saccharum 	 A260_S265 	 SR_SKXRM
acerb 	 A261 	 SRB
acerbate 	 A261 	 SRBT
acerbic 	 A261 	 SRBK
acerbic_wit 	 A261_W300 	 SRBK_WT
acerbity 	 A261 	 SRBT
acetabular 	 A231 	 STBLR
acetabular_component 	 A231_C515 	 STBLR_KMPNNT
acetabular_cup 	 A231_C100 	 STBLR_KP
acetabulum 	 A231 	 STBLM
acetaminophen 	 A235 	 STMNFN
acetaminophen_tylenol 	 A235_T454 	 STMNFN_TLNL
acetate 	 A233 	 STT
acetazolamide 	 A232 	 STSLMT
acetic_acid 	 A232_A230 	 STK_ST
acetic_anhydride 	 A232_A536 	 STK_ANTRT
acetify 	 A231 	 STF
acetone 	 A235 	 STN
acetyl_chloride 	 A234_C463 	 STL_XLRT
acetylacetone 	 A234 	 STLSTN
acetylcholine_ach 	 A234_A200 	 STLXLN_X
acetylcholine_release 	 A234_R420 	 STLXLN_RLS
acf 	 A210 	 KF
ach_credit 	 A200_C633 	 X_KRTT
ach_debit 	 A200_D130 	 X_TBT
ach_tha 	 A200_T000 	 X_0
achaar 	 A260 	 XR
achalasia 	 A242 	 XLX
achamoth 	 A253 	 XM0
ache 	 A200 	 X
achene 	 A250 	 XN
achievability 	 A211 	 XFBLT
achievable 	 A211 	 XFBL
achieve 	 A210 	 XF
